,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,Luanda,-8.84,13.23,75.2,78,75,14.99,AO,1591735230
319,General Roca,-39.03,-67.58,59.0,28,31,9.17,AR,1591735231
320,Half Moon Bay,37.46,-122.43,86.0,21,5,8.05,US,1591735048
321,Port Hedland,-20.32,118.57,62.6,67,40,6.93,AU,1591735231
322,Caravelas,-17.71,-39.25,72.52,89,0,4.61,BR,1591735231
323,Richards Bay,-28.78,32.04,68.52,72,0,14.74,ZA,1591734893
324,Miracema do Tocantins,-9.56,-48.4,91.0,37,43,2.95,BR,1591734710
325,Vardø,70.37,31.11,42.8,70,75,5.82,NO,1591734893
326,Cidreira,-30.18,-50.21,60.98,87,89,6.49,BR,1591735231
327,Souillac,-20.52,57.52,69.8,83,40,9.17,MU,1591735231
328,Chicama,-7.84,-79.15,71.26,64,61,8.95,PE,1591734893
329,Benalla,-36.55,145.98,44.01,100,100,4.7,AU,1591734893
330,Olds,51.78,-114.1,62.01,31,59,1.01,CA,1591734890
331,Cairns,-16.92,145.77,68.0,77,92,6.93,AU,1591735065
332,Kununurra,-15.77,128.73,64.4,41,33,5.82,AU,1591734964
333,Lavrentiya,65.58,-171.0,36.5,83,100,5.61,RU,1591735232
334,Acajutla,13.59,-89.83,84.99,80,14,6.93,SV,1591734894
335,Magistral'nyy,56.17,107.45,45.52,72,58,1.99,RU,1591734894
336,Krasnosel'kup,65.7,82.47,49.41,85,75,7.96,RU,1591735232
337,San Patricio,19.22,-104.7,82.4,74,5,17.22,MX,1591735232
338,Churapcha,62.0,132.43,51.84,72,17,8.08,RU,1591735232
339,Esperance,-33.87,121.9,50.0,61,65,12.75,AU,1591735233
340,Salalah,17.02,54.09,84.2,94,75,6.93,OM,1591735233
341,Hazorasp,41.32,61.07,68.0,42,0,4.7,UZ,1591734894
342,Ouadda,8.08,22.4,70.57,93,100,2.04,CF,1591734894
343,Kholm,59.27,32.85,66.36,96,100,7.7,RU,1591734894
344,Mayo,38.89,-76.51,87.8,65,1,10.29,US,1591734895
345,Diego de Almagro,-26.37,-70.05,70.34,33,100,7.0,CL,1591734895
346,Mathbaria,22.29,89.96,84.58,73,93,4.23,BD,1591734895
347,Yanam,16.73,82.22,80.89,84,100,2.15,IN,1591734895
348,Ouésso,1.61,16.05,72.3,94,51,2.57,CG,1591735233
349,Severodvinsk,64.56,39.83,59.0,93,75,7.07,RU,1591734895
350,Canaway,13.32,123.71,78.12,85,100,4.32,PH,1591734895
351,Cartagena del Chairá,1.33,-74.84,86.47,63,29,2.24,CO,1591734895
352,Nur,52.67,22.32,64.99,80,100,5.01,PL,1591734896
353,Rocha,-34.48,-54.33,53.02,85,100,4.34,UY,1591734746
354,Sakakah,29.97,40.21,89.6,10,0,6.93,SA,1591734896
355,Forsytheganj,52.63,29.73,66.69,88,100,4.68,BY,1591735234
356,Elverum,60.88,11.56,48.99,84,46,1.01,NO,1591734896
357,Córdoba,-31.41,-64.18,68.0,68,20,14.99,AR,1591734613
358,Necochea,-38.55,-58.74,54.0,54,0,4.0,AR,1591734896
359,Coffeyville,37.04,-95.62,93.2,49,40,23.04,US,1591734609
360,Opuwo,-18.06,13.84,55.99,54,4,6.31,NA,1591735234
361,Aquiraz,-3.9,-38.39,80.6,78,20,8.05,BR,1591734897
362,Tres Arroyos,-38.37,-60.28,49.73,48,0,8.5,AR,1591734897
363,Murgab,37.5,61.97,77.0,23,0,9.17,TM,1591734897
364,Adrar,20.5,-10.07,90.91,37,13,4.07,MR,1591735235
365,Tazovsky,67.47,78.7,48.24,72,67,9.37,RU,1591735235
366,Fredericton,45.95,-66.67,71.6,26,75,16.11,CA,1591734605
367,Northam,51.03,-4.22,55.99,86,99,3.0,GB,1591735235
368,Kawalu,-7.38,108.21,73.13,92,91,1.07,ID,1591734897
